energy-kcal_value,fat_value,saturated-fat_value,carbohydrates_value,sugars_value,proteins_value,salt_value,sodium_value,energy_value,off:nutriscore_score,off:ecoscore_score,cluster,code
267.0,7.0,2.2,38.0,0.7,11.0,1.45,0.58,1123.0,11.0,45.5032693093584,2,8480000061423
399.0,6.2,3.4,76.0,18.3,8.3,1.0,0.4,399.0,10.0,25.0,0,8480000094872
401.0,23.0,11.0,37.0,2.5,5.9,0.96,0.384,1674.0,17.0,47.0,1,3270190022534
419.0,12.0,2.7,65.0,29.0,9.2,0.38,0.152,1763.0,9.0,44.0,0,3560070800209
457.0,18.0,5.1,63.0,16.0,6.9,0.04,0.016,457.0,8.0,61.0,0,8710100127003
136.0,1.0,0.3,25.0,0.3,5.5,0.17,0.068,575.0,-4.0,45.5032693093584,4,3245412654305
46.0,0.8,0.2,8.1,5.4,1.4,0.04,0.016,194.0,1.0,63.0,4,8423352861792
343.0,0.6,0.2,77.0,2.0,6.4,1.0,0.4,1454.0,4.0,45.5032693093584,2,8934563207403
355.0,0.6,0.2,78.0,0.5,9.0,0.01,0.004,1508.0,-1.0,3.0,2,8480000050021
453.0,16.0,7.5,65.0,19.0,8.5,0.35,0.14,1902.0,12.0,51.0,0,3560071013042
367.0,1.8,0.6,74.8,10.8,9.4,0.9,0.36,367.0,-1.0,25.0,2,5900020020895
82.0,1.4,0.4,14.0,6.7,2.5,0.5,0.2,82.0,-2.0,76.0,4,8480000167149
439.0,13.0,5.9,69.0,35.0,9.9,0.82,0.328,1846.0,17.0,15.0,0,8480000093332
164.0,2.2,0.3,31.0,0.0,3.9,0.35,0.14,693.0,0.0,-2.0,4,8410184040730
389.0,8.0,5.7,65.0,22.0,8.8,0.57,0.228,389.0,10.0,61.0,0,8480000796165
366.0,1.5,0.3,74.0,3.5,12.0,0.04,0.016,1550.0,-5.0,47.0,2,8480000062505
476.0,22.0,8.9,60.0,27.0,7.2,0.6,0.24,476.0,16.0,61.0,0,5059319003269
214.0,7.3,3.6,29.0,5.8,7.8,1.9,0.76,901.0,14.0,45.5032693093584,4,8480000061430
401.0,5.7,0.9,74.4,14.6,10.2,0.55,0.22,1694.0,0.0,75.0,2,4056489208822
438.0,12.0,2.1,69.0,27.0,11.0,0.88,0.352,438.0,10.0,25.0,0,8480000608758
50.0,0.8,0.1,9.3,5.9,1.3,0.07,0.028,211.0,1.0,52.0,4,8431876289558
339.2182325527606,7.65050532628694,1.8769132209561203,55.75208659200276,7.01385520495312,9.400641515028987,6.061229070705468,2.4244916282821873,597.0493601720625,2.9960358497069977,25.0,2,5059319026053
345.0,2.4,0.5,62.0,3.7,13.5,0.01,0.004,1460.0,-6.0,45.5032693093584,2,8402001010194
349.0,1.0,0.4,76.0,0.5,8.3,0.03,0.012,1481.0,-2.0,5.0,2,3560070837052
44.0,0.6,0.1,7.7,4.5,1.6,0.03,0.012,186.0,0.0,71.0,4,8423352100150
376.0,7.9,2.8,61.0,8.0,11.0,0.03,0.012,1582.0,-3.0,79.0,2,3560071407599
356.0,1.8,0.5,71.0,2.2,13.0,0.0,0.0,1509.0,-4.0,60.0,2,3245412738289
319.0,6.3,0.9,54.0,7.0,11.0,0.9,0.36,1347.0,2.0,73.0,2,3245413497901
347.0,3.3,0.6,64.0,1.0,9.7,0.0,0.0,1466.0,-6.0,79.0,2,3560070519309
345.0,2.3,0.5,61.0,0.9,15.0,0.02,0.008,1457.0,-6.0,79.0,2,3560070821587
353.0,2.0,0.3,65.0,3.3,15.0,0.08,0.032,1494.0,-6.0,67.0,2,8004690612804
460.0,17.0,2.6,69.0,2.5,6.5,1.2,0.48,460.0,11.0,49.0,2,8423207207478
347.0,0.8,0.3,78.0,0.5,6.5,0.49,0.196,1472.0,2.0,12.0,2,8480000050632
38.0,1.2,0.3,6.4,4.6,0.4,0.1,0.04,160.0,1.0,81.0,4,8480000230478
385.0,3.1,0.5,76.0,10.0,7.3,0.17,0.068,385.0,-3.0,25.0,2,5059319021300
498.0,21.7,13.6,66.8,28.1,6.4,0.03,0.012,498.0,22.0,65.0,0,20038670
